qubit;depth;reads;cov
98.2;100.2412801;45072;95.171
12.4;150.0;12098;93.34
2.46;1192.24;92514;99.595
8.3;192.8674;14709;93.114
13.2;48.79453567;5754;71.732
42.2;934.3439;72175;99.595
20.8;496.7;39257;97.686
1.79;443.61;34646;95.974
25.8;472.0;46348;97.81
15.8;0.1127;9;0.0
20.0;130.029;11784;86.239
14.3;384.7;29773;77.337
23.8;633.5;48869;99.595
42.4;892.1534;67974;96.994
120.0;154.6834431;70919;96.994
14.8;227.5;18235;97.82
21.8;56.7945;5434;64.081
51.6;489.83;37443;99.579
17.0;424.0;32655;98.866
22.8;276.5117;21158;92.128
20.7;946.8;73015;99.595
40.2;131.2944855;10790;90.827
44.6;21.39688326;11541;76.989
23.4;0.402802394;451;5.856
17.0;228.2522;19613;96.255
15.8;449.6;34750;97.873
41.6;771.5766;59737;96.994
22.2;808.4;62054;99.595
41.2;565.0775;43735;96.994
33.6;1875.2235;140275;97.967
8.5;69.6276;6264;80.443
92.4;63.72420827;30104;91.262
11.4;45.4451;4691;56.252
20.2;421.0;32889;100.0
57.4;1779.1395;139503;97.866
39.0;796.4109;61254;99.579
4.52;519.15;41300;97.241
41.0;123.1493496;11421;89.79
17.1;141.2167;12532;94.743
42.8;31.8035983;17981;80.353
26.6;8.177039093;8727;63.171
54.2;369.8541283;29625;97.686
15.0;386.6259;30045;90.429
18.6;1190.0432;89313;99.579
48.8;726.6643;56171;96.994
30.6;154.9467;12410;96.234
16.4;127.4521;11855;93.034
24.6;718.0061;54735;95.763
71.6;450.6568;35492;95.281
24.1;1103.368;85612;95.87
10.7;436.1763;34582;90.369
5.86;227.1486;17703;88.924
5.08;1.0;93;0.0
66.6;802.19;63944;97.82
27.4;310.1709;23628;95.027
19.8;296.0;24993;96.826
23.6;612.0;47736;96.793
15.5;291.2;22585;97.873
11.1;540.0;42946;98.743
8.38;554.8749;43407;93.382
12.6;77.6533;7337;80.557
9.4;183.9;14230;93.971
25.6;658.0;50862;97.83
81.0;779.3379;60888;98.01
69.0;95.93719694;39151;93.947
39.0;256.0;27915;93.302
7.62;995.24;77772;97.793
13.7;210.0;25076;98.679
9.67;330.2;25803;98.743
37.0;303.5681035;25477;96.097
12.0;487.0571;38369;92.232
50.2;616.1653;47964;96.994
11.4;211.2;16489;96.228
40.5;188.4055;14692;83.336
17.8;179.2182;13760;91.014
